District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
289,Elm City College Preparatory School,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,No,406,397,97.8,0.7,1.5,3.8,8.8,22.2,49.9,15.4,246.9,65.2,87.4
51,Fairfield School District,2010-11,No,757,749,98.9,0.3,0.8,2,4.1,13.8,48.2,31.9,264.7,80.1,93.9
51,Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,No,343,341,99.4,0,0.6,0.9,2.9,7.6,44.3,44.3,279.8,88.6,96.2
52,Farmington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,No,21,21,100,0,0,0,14.3,9.5,33.3,42.9,272.1,76.2,85.7
54,Glastonbury School District,2010-11,No,554,549,99.1,0.2,0.7,2.4,3.3,13.5,50.3,30.6,267.3,80.9,94.4
54,Glastonbury School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,No,159,159,100,0,0,1.9,6.3,11.9,45.9,34,266.5,79.9,91.8
56,Granby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
57,Greenwich School District,2010-11,No,606,599,98.8,0.7,0.5,3,6.2,10.7,46.9,33.2,266.2,80.1,90.8
57,Greenwich School District,2010-11,Yes,31,22,71,0,29,9.1,18.2,40.9,31.8,0,224.8,31.8,72.7
58,Griswold School District,2010-11,No,132,131,99.2,0,0.8,8.4,6.1,20.6,45.8,19.1,249.2,64.9,85.5
59,Groton School District,2010-11,No,313,310,99,0,1,5.5,7.4,14.8,45.2,27.1,256.6,72.3,87.1
59,Groton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
60,Guilford School District,2010-11,No,300,295,98.3,0,1.7,0.7,2,10.5,55.6,31.2,268.1,86.8,97.3
62,Hamden School District,2010-11,No,444,435,98,0,2,9.9,13.3,17.9,40,18.9,245.1,58.9,76.8
62,Hamden School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
64,Hartford School District,2010-11,No,1374,1326,96.5,1.6,1.9,18.7,22.2,24.3,29,5.7,220.6,34.8,59
64,Hartford School District,2010-11,Yes,283,235,83,5.3,11.7,61.7,22.1,13.2,2.6,0.4,183.1,3,16.2
65,Hartland School District,2010-11,No,20,20,100,0,0,0,0,0,60,40,278.2,100,100
286,Highville Charter School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
264,Integrated Day Charter School District,2010-11,No,30,30,100,0,0,0,10,23.3,53.3,13.3,249.3,66.7,90
264,Integrated Day Charter School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
265,Interdistrict School for Arts and Comm District,2010-11,No,59,59,100,0,0,8.5,15.3,25.4,33.9,16.9,239.8,50.8,76.3
261,Jumoke Academy District,2010-11,No,39,39,100,0,0,0,5.1,17.9,56.4,20.5,257.3,76.9,94.9
68,Kent School District,2010-11,No,28,27,96.4,0,3.6,0,3.7,3.7,48.1,44.4,276.9,92.6,96.3
69,Killingly School District,2010-11,No,190,186,97.9,0.5,1.6,5.9,8.1,21.5,47.3,17.2,248.4,64.5,86
69,Killingly School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,No,103,99,96.1,1,2.9,0,3,9.1,39.4,48.5,285.5,87.9,97
72,Ledyard School District,2010-11,No,224,214,95.5,0.9,3.6,7,5.6,14.5,36,36.9,263.4,72.9,87.4
72,Ledyard School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
73,Lisbon School District,2010-11,No,68,66,97.1,0,2.9,7.6,9.1,19.7,36.4,27.3,252.8,63.6,83.3
74,Litchfield School District,2010-11,No,93,93,100,0,0,5.4,9.7,19.4,46.2,19.4,249.3,65.6,84.9
74,Litchfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
76,Madison School District,2010-11,No,311,305,98.1,0.6,1.3,2.3,2.3,6.2,31.8,57.4,289.1,89.2,95.4
77,Manchester School District,2010-11,No,454,433,95.4,2,2.6,7.6,17.6,21.5,37,16.4,241.2,53.3,74.8
77,Manchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
78,Mansfield School District,2010-11,No,148,147,99.3,0,0.7,6.1,2,8.2,46.3,37.4,269,83.7,91.8
78,Mansfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
80,Meriden School District,2010-11,No,531,499,94,4,2.1,14.4,20.8,23.4,32.9,8.4,227.2,41.3,64.7
80,Meriden School District,2010-11,Yes,63,48,76.2,9.5,14.3,41.7,31.2,25,2.1,0,189.5,2.1,27.1
83,Middletown School District,2010-11,No,359,352,98.1,0.6,1.4,8.8,13.6,19.9,40.1,17.6,243.8,57.7,77.6
83,Middletown School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
84,Milford School District,2010-11,No,577,566,98.1,0.5,1.4,3.2,6.7,16.3,56.5,17.3,253.4,73.9,90.1
84,Milford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
85,Monroe School District,2010-11,No,331,329,99.4,0,0.6,2.1,1.5,10,56.5,29.8,267.5,86.3,96.4
85,Monroe School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
86,Montville School District,2010-11,No,219,211,96.3,0,3.7,8.5,7.1,16.1,39.8,28.4,254.9,68.2,84.4
86,Montville School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
88,Naugatuck School District,2010-11,No,384,376,97.9,0.5,1.6,10.6,11.7,23.4,42,12.2,239,54.3,77.7
88,Naugatuck School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
280,"New Beginnings Inc., Family Academy District",2010-11,No,23,23,100,0,0,8.7,21.7,21.7,47.8,0,229,47.8,69.6
89,New Britain School District,2010-11,No,581,558,96,1.9,2.1,27.6,21,26.9,20.4,4.1,211.7,24.6,51.4
89,New Britain School District,2010-11,Yes,137,123,89.8,0,10.2,56.1,28.5,11.4,4.1,0,185.5,4.1,15.4
90,New Canaan School District,2010-11,No,293,290,99,0,1,1.4,1,5.5,35.9,56.2,290.5,92.1,97.6
90,New Canaan School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
91,New Fairfield School District,2010-11,No,256,255,99.6,0,0.4,3.1,9,16.1,55.7,16.1,250.7,71.8,87.8
91,New Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
93,New Haven School District,2010-11,No,1274,1237,97.1,1,1.9,15.8,22.6,28.4,28.7,4.5,221.3,33.2,61.6
93,New Haven School District,2010-11,Yes,167,137,82,1.8,16.2,43.1,29.2,20.4,7.3,0,194.3,7.3,27.7
95,New London School District,2010-11,No,159,152,95.6,1.3,3.1,11.8,13.8,28.3,38.8,7.2,231.7,46.1,74.3
95,New London School District,2010-11,Yes,31,26,83.9,3.2,12.9,42.3,19.2,34.6,3.8,0,191.9,3.8,38.5
96,New Milford School District,2010-11,No,386,378,97.9,0.3,1.8,9.5,11.4,16.7,48.4,14,242.7,62.4,79.1
96,New Milford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
94,Newington School District,2010-11,No,349,343,98.3,0.6,1.1,4.4,7.6,11.7,54.2,22.2,257.1,76.4,88
94,Newington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
97,Newtown School District,2010-11,No,461,459,99.6,0,0.4,1.1,3.3,8.1,44.4,43.1,278.2,87.6,95.6
99,North Branford School District,2010-11,No,222,217,97.7,0.5,1.8,4.1,6,21.7,53,15.2,249.6,68.2,89.9
99,North Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
100,North Canaan School District,2010-11,No,29,29,100,0,0,3.4,0,17.2,55.2,24.1,259.2,79.3,96.6
101,North Haven School District,2010-11,No,296,290,98,0,2,4.5,8.3,14.1,46.6,26.6,258.6,73.1,87.2
102,North Stonington School District,2010-11,No,60,59,98.3,0,1.7,5.1,8.5,8.5,39,39,266.9,78,86.4
102,North Stonington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
103,Norwalk School District,2010-11,No,771,759,98.4,0,1.6,7.5,11.9,19.9,47.3,13.4,242.8,60.7,80.6
103,Norwalk School District,2010-11,Yes,61,56,91.8,0,8.2,37.5,37.5,17.9,7.1,0,193.3,7.1,25
104,Norwich School District,2010-11,No,336,327,97.3,0,2.7,12.2,25.1,25.4,32.7,4.6,223.3,37.3,62.7
104,Norwich School District,2010-11,Yes,37,32,86.5,0,13.5,50,34.4,12.5,3.1,0,185.4,3.1,15.6
263,Odyssey Community School District,2010-11,No,31,31,100,0,0,3.2,0,29,54.8,12.9,246.7,67.7,96.8
106,Old Saybrook School District,2010-11,No,122,119,97.5,0.8,1.6,5,6.7,10.1,33.6,44.5,277.9,78.2,88.2
108,Oxford School District,2010-11,No,141,139,98.6,0.7,0.7,1.4,4.3,6.5,37.4,50.4,279,87.8,94.2
108,Oxford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
283,Park City Prep Charter School,2010-11,No,68,68,100,0,0,8.8,19.1,36.8,35.3,0,223.9,35.3,72.1
109,Plainfield School District,2010-11,No,189,185,97.9,0.5,1.6,3.8,8.6,29.7,43.8,14.1,245.4,57.8,87.6
109,Plainfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
110,Plainville School District,2010-11,No,188,184,97.9,0,2.1,6,6,20.1,48.4,19.6,252.1,67.9,88
110,Plainville School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
111,Plymouth School District,2010-11,No,156,152,97.4,0.6,1.9,13.8,17.1,19.1,45.4,4.6,229,50,69.1
111,Plymouth School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
112,Pomfret School District,2010-11,No,58,56,96.6,0,3.4,1.8,5.4,5.4,44.6,42.9,279.7,87.5,92.9
113,Portland School District,2010-11,No,106,104,98.1,0.9,0.9,5.8,5.8,11.5,41.3,35.6,263.7,76.9,88.5
114,Preston School District,2010-11,No,48,47,97.9,0,2.1,0,4.3,8.5,48.9,38.3,281.5,87.2,95.7
114,Preston School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
116,Putnam School District,2010-11,No,85,81,95.3,1.2,3.5,18.5,18.5,23.5,35.8,3.7,222,39.5,63
116,Putnam School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
117,Redding School District,2010-11,No,149,148,99.3,0.7,0,0.7,1.4,8.1,52.7,37.2,273.4,89.9,98
204,Regional School District 04,2010-11,No,194,193,99.5,0.5,0,3.6,4.1,8.3,45.6,38.3,272.8,83.9,92.2
204,Regional School District 04,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
205,Regional School District 05,2010-11,No,429,423,98.6,0,1.4,1.2,1.7,6.6,35.7,54.8,290.7,90.5,97.2
205,Regional School District 05,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
206,Regional School District 06,2010-11,No,74,74,100,0,0,1.4,6.8,17.6,56.8,17.6,255,74.3,91.9
206,Regional School District 06,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
207,Regional School District 07,2010-11,No,150,150,100,0,0,2.7,3.3,6.7,40,47.3,281.3,87.3,94
208,Regional School District 08,2010-11,No,314,311,99,0,1,2.3,5.1,9.3,43.4,39.9,272.3,83.3,92.6
210,Regional School District 10,2010-11,No,215,213,99.1,0,0.9,1.9,4.2,16.9,53.5,23.5,259.8,77,93.9
211,Regional School District 11,2010-11,No,67,67,100,0,0,7.5,10.4,26.9,47.8,7.5,237.7,55.2,82.1
212,Regional School District 12,2010-11,No,79,79,100,0,0,5.1,3.8,7.6,46.8,36.7,270.1,83.5,91.1
213,Regional School District 13,2010-11,No,176,175,99.4,0,0.6,2.9,3.4,6.9,39.4,47.4,277.5,86.9,93.7
214,Regional School District 14,2010-11,No,150,149,99.3,0,0.7,4,6.7,12.1,43.6,33.6,265.3,77.2,89.3
214,Regional School District 14,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
215,Regional School District 15,2010-11,No,349,342,98,0.3,1.7,3.5,3.2,11.1,46.8,35.4,269.3,82.2,93.3
215,Regional School District 15,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
216,Regional School District 16,2010-11,No,193,191,99,0,1,2.1,7.3,16.2,59.2,15.2,252.2,74.3,90.6
217,Regional School District 17,2010-11,No,212,206,97.2,0,2.8,1.9,2.9,5.3,36.9,52.9,287.3,89.8,95.1
218,Regional School District 18,2010-11,No,94,94,100,0,0,3.2,1.1,8.5,43.6,43.6,279.4,87.2,95.7
118,Ridgefield School District,2010-11,No,443,435,98.2,0.7,1.1,1.1,3.7,7.4,43,44.8,280.1,87.8,95.2
118,Ridgefield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
119,Rocky Hill School District,2010-11,No,212,210,99.1,0,0.9,1.4,6.2,9,45.2,38.1,271.2,83.3,92.4
119,Rocky Hill School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
121,Salem School District,2010-11,No,62,61,98.4,0,1.6,0,3.3,8.2,52.5,36.1,276.4,88.5,96.7
122,Salisbury School District,2010-11,No,30,30,100,0,0,6.7,0,3.3,63.3,26.7,271.4,90,93.3
124,Seymour School District,2010-11,No,188,186,98.9,0,1.1,8.1,10.8,23.1,50,8.1,239.5,58.1,81.2
125,Sharon School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
