District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
57,Greenwich School District,2010-11,No,606,595,98.2,0.3,1.5,3.4,2.7,5.7,39,49.2,281.5,88.2,93.9
57,Greenwich School District,2010-11,Yes,31,22,71,0,29,22.7,13.6,31.8,22.7,9.1,229.2,31.8,63.6
58,Griswold School District,2010-11,No,132,124,93.9,0,6.1,8.1,4.8,9.7,47.6,29.8,260.7,77.4,87.1
59,Groton School District,2010-11,No,313,303,96.8,0,3.2,7.3,7.6,8.6,44.6,32,262.3,76.6,85.1
59,Groton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
60,Guilford School District,2010-11,No,300,293,97.7,0,2.3,0.7,0.7,3.8,42,52.9,285.3,94.9,98.6
62,Hamden School District,2010-11,No,444,409,92.1,0.5,7.4,10.5,10.8,10.8,43.8,24.2,253.7,68,78.7
62,Hamden School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
64,Hartford School District,2010-11,No,1374,1215,88.4,1.2,10.4,24.4,11.7,13.8,39,11,233.2,50,63.9
64,Hartford School District,2010-11,Yes,283,194,68.6,3.2,28.3,72.2,14.4,5.2,8.2,0,191.4,8.2,13.4
65,Hartland School District,2010-11,No,20,20,100,0,0,0,5,0,45,50,281.8,95,95
286,Highville Charter School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
264,Integrated Day Charter School District,2010-11,No,30,29,96.7,0,3.3,3.4,3.4,13.8,44.8,34.5,264.5,79.3,93.1
264,Integrated Day Charter School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
265,Interdistrict School for Arts and Comm District,2010-11,No,59,57,96.6,0,3.4,8.8,5.3,14,52.6,19.3,253,71.9,86
261,Jumoke Academy District,2010-11,No,39,39,100,0,0,15.4,2.6,10.3,59,12.8,245.8,71.8,82.1
68,Kent School District,2010-11,No,28,26,92.9,0,7.1,0,0,3.8,38.5,57.7,287,96.2,100
69,Killingly School District,2010-11,No,190,182,95.8,1.1,3.2,8.2,10.4,9.9,50,21.4,253,71.4,81.3
69,Killingly School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,No,103,99,96.1,1,2.9,5.1,2,3,56.6,33.3,271.6,89.9,92.9
