District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
36,Deep River School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,Free,63,61,96.8,0,3.2,14.8,16.4,47.5,16.4,4.9,225.2,21.3,68.9
37,Derby School District,2010-11,Other,48,47,97.9,0,2.1,4.3,17,36.2,29.8,12.8,244.5,42.6,78.7
37,Derby School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Other,66,65,98.5,0,1.5,1.5,3.1,4.6,32.3,58.5,291.1,90.8,95.4
41,East Haddam School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,Other,111,107,96.4,0,3.6,0,3.7,29,37.4,29.9,266.7,67.3,96.3
41,East Haddam School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Other,145,142,97.9,0,2.1,1.4,2.1,15.5,47.2,33.8,272.8,81,96.5
42,East Hampton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,Free,289,272,94.1,0,5.9,19.1,24.3,32.4,19.9,4.4,221.8,24.3,56.6
43,East Hartford School District,2010-11,Other,158,151,95.6,0,4.4,11.9,15.2,29.8,32.5,10.6,238.9,43,72.8
43,East Hartford School District,2010-11,Reduced,56,54,96.4,0,3.6,5.6,9.3,55.6,18.5,11.1,235.5,29.6,85.2
44,East Haven School District,2010-11,Free,84,76,90.5,0,9.5,9.2,15.8,35.5,31.6,7.9,234.1,39.5,75
44,East Haven School District,2010-11,Other,160,152,95,1.3,3.8,3.3,9.2,30.3,38.8,18.4,252.7,57.2,87.5
44,East Haven School District,2010-11,Reduced,37,33,89.2,0,10.8,9.1,21.2,27.3,36.4,6.1,234.8,42.4,69.7
45,East Lyme School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,Other,190,183,96.3,0,3.7,0,0.5,8.2,30.6,60.7,295.6,91.3,99.5
45,East Lyme School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,Free,25,24,96,0,4,25,20.8,20.8,29.2,4.2,223.5,33.3,54.2
47,East Windsor School District,2010-11,Other,61,58,95.1,0,4.9,8.6,8.6,22.4,43.1,17.2,253.4,60.3,82.8
47,East Windsor School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,Other,135,129,95.6,1.5,3,0,0.8,7,33.3,58.9,291.5,92.2,99.2
48,Ellington School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,Other,195,192,98.5,0,1.5,0,1,11.5,46.4,41.1,279.7,87.5,99
48,Ellington School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
