District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
36,Deep River School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,N,85,84,98.8,1.2,0,25,16.7,10.7,39.3,8.3,229.2,47.6,58.3
37,Derby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,N,52,52,100,0,0,1.9,5.8,9.6,57.7,25,263.9,82.7,92.3
40,East Granby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,N,91,91,100,0,0,3.3,5.5,14.3,53.8,23.1,257.7,76.9,91.2
41,East Haddam School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,N,140,140,100,0,0,8.6,4.3,15.7,50,21.4,252.4,71.4,87.1
42,East Hampton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,N,441,432,98,0.2,1.8,35.6,13.7,19.9,26.4,4.4,215.3,30.8,50.7
43,East Hartford School District,2010-11,Y,72,46,63.9,0,36.1,80.4,4.3,10.9,4.3,0,168.2,4.3,15.2
44,East Haven School District,2010-11,N,248,246,99.2,0,0.8,29.7,15.9,19.1,32.9,2.4,218.7,35.4,54.5
44,East Haven School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,N,191,188,98.4,0.5,1,3.7,4.8,9.6,52.7,29.3,263,81.9,91.5
45,East Lyme School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,N,86,86,100,0,0,9.3,12.8,19.8,43,15.1,243.8,58.1,77.9
47,East Windsor School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
