District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
62,Hamden School District,2010-11,N,379,375,98.9,0,1.1,20.3,12.3,14.1,42.9,10.4,243.4,53.3,67.5
62,Hamden School District,2010-11,Y,75,66,88,1.3,10.7,57.6,13.6,10.6,15.2,3,203.6,18.2,28.8
64,Hartford School District,2010-11,N,1381,1331,96.4,2,1.7,37.3,16.9,15.5,26,4.4,220.9,30.4,45.8
64,Hartford School District,2010-11,Y,276,226,81.9,6.2,12,80.5,8.8,5.3,4.4,0.9,181.3,5.3,10.6
65,Hartland School District,2010-11,N,20,20,100,0,0,5,5,0,65,25,279.9,90,90
286,Highville Charter School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
286,Highville Charter School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
264,Integrated Day Charter School District,2010-11,N,29,29,100,0,0,6.9,10.3,20.7,58.6,3.4,250.3,62.1,82.8
264,Integrated Day Charter School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
265,Interdistrict School for Arts and Comm District,2010-11,N,49,49,100,0,0,6.1,6.1,12.2,65.3,10.2,259.9,75.5,87.8
265,Interdistrict School for Arts and Comm District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
261,Jumoke Academy District,2010-11,N,37,37,100,0,0,2.7,16.2,13.5,62.2,5.4,256.7,67.6,81.1
261,Jumoke Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
68,Kent School District,2010-11,N,23,23,100,0,0,0,0,8.7,56.5,34.8,281.7,91.3,100
68,Kent School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
69,Killingly School District,2010-11,N,163,163,100,0,0,12.9,9.8,16.6,57.1,3.7,247.2,60.7,77.3
69,Killingly School District,2010-11,Y,31,27,87.1,3.2,9.7,25.9,18.5,29.6,25.9,0,223.1,25.9,55.6
245,Learn,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,N,95,95,100,0,0,1.1,4.2,8.4,66.3,20,274.6,86.3,94.7
71,Lebanon School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
72,Ledyard School District,2010-11,N,192,189,98.4,1.6,0,5.8,4.2,11.1,53.4,25.4,273.1,78.8,89.9
72,Ledyard School District,2010-11,Y,33,25,75.8,3,21.2,32,32,12,20,4,219.2,24,36
73,Lisbon School District,2010-11,N,62,62,100,0,0,0,8.1,14.5,69.4,8.1,260.8,77.4,91.9
73,Lisbon School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
74,Litchfield School District,2010-11,N,80,80,100,0,0,1.2,2.5,10,53.8,32.5,283.6,86.3,96.3
74,Litchfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
76,Madison School District,2010-11,N,266,260,97.7,1.1,1.1,0.8,1.9,4.6,63.1,29.6,286,92.7,97.3
76,Madison School District,2010-11,Y,45,44,97.8,2.2,0,18.2,15.9,25,40.9,0,235.7,40.9,65.9
77,Manchester School District,2010-11,N,399,389,97.5,1.8,0.8,17.5,15.9,17.2,42.9,6.4,240.8,49.4,66.6
77,Manchester School District,2010-11,Y,73,58,79.5,2.7,17.8,74.1,10.3,10.3,5.2,0,189.9,5.2,15.5
78,Mansfield School District,2010-11,N,126,125,99.2,0,0.8,0.8,0.8,4,48,46.4,298.5,94.4,98.4
78,Mansfield School District,2010-11,Y,23,20,87,8.7,4.3,25,10,10,50,5,241.4,55,65
80,Meriden School District,2010-11,N,504,480,95.2,2.6,2.2,25.4,17.9,16.9,38.1,1.7,228.4,39.8,56.7
80,Meriden School District,2010-11,Y,90,76,84.4,4.4,11.1,68.4,21.1,6.6,3.9,0,187.4,3.9,10.5
83,Middletown School District,2010-11,N,326,324,99.4,0.3,0.3,11.7,14.8,17.3,49.1,7.1,248.5,56.2,73.5
83,Middletown School District,2010-11,Y,39,32,82.1,2.6,15.4,81.2,6.2,6.2,6.2,0,183.2,6.3,12.5
84,Milford School District,2010-11,N,510,506,99.2,0.6,0.2,1.8,6.1,11.9,62.6,17.6,271.6,80.2,92.1
84,Milford School District,2010-11,Y,68,61,89.7,0,10.3,27.9,21.3,18,32.8,0,225.7,32.8,50.8
85,Monroe School District,2010-11,N,310,310,100,0,0,1.3,4.5,6.5,59.4,28.4,283.9,87.7,94.2
85,Monroe School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
86,Montville School District,2010-11,N,199,197,99,0,1,7.6,8.6,10.2,56.3,17.3,265.2,73.6,83.8
86,Montville School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
88,Naugatuck School District,2010-11,N,346,346,100,0,0,14.7,11.8,20.5,47.4,5.5,243.7,52.9,73.4
88,Naugatuck School District,2010-11,Y,46,42,91.3,0,8.7,61.9,14.3,9.5,14.3,0,197.6,14.3,23.8
280,"New Beginnings Inc., Family Academy District",2010-11,N,22,22,100,0,0,13.6,13.6,31.8,40.9,0,234.3,40.9,72.7
280,"New Beginnings Inc., Family Academy District",2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
89,New Britain School District,2010-11,N,594,586,98.7,0.2,1.2,46.8,17.2,14.5,20.1,1.4,210.6,21.5,36
89,New Britain School District,2010-11,Y,124,105,84.7,2.4,12.9,84.8,8.6,2.9,3.8,0,181.3,3.8,6.7
90,New Canaan School District,2010-11,N,265,263,99.2,0,0.8,0,0.8,3,49,47.1,300.1,96.2,99.2
90,New Canaan School District,2010-11,Y,29,27,93.1,0,6.9,14.8,7.4,14.8,48.1,14.8,253.4,63,77.8
91,New Fairfield School District,2010-11,N,231,231,100,0,0,2.6,5.2,9.5,61.9,20.8,274.9,82.7,92.2
