District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
144,Trumbull School District,2010-11,No,558,550,98.6,0,1.4,3.3,4.7,8.4,60.9,22.7,276.3,83.6,92
145,Union School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
146,Vernon School District,2010-11,No,274,268,97.8,0,2.2,13.4,9.7,17.9,51.5,7.5,248.9,59,76.9
146,Vernon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
147,Voluntown School District,2010-11,No,31,31,100,0,0,9.7,3.2,12.9,67.7,6.5,260.3,74.2,87.1
148,Wallingford School District,2010-11,No,511,504,98.6,0.4,1,5.6,6.3,12.3,58.3,17.5,265.7,75.8,88.1
148,Wallingford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
151,Waterbury School District,2010-11,No,1241,1195,96.3,1.6,2.1,36.3,18.1,18.3,26.5,0.8,218.2,27.3,45.6
151,Waterbury School District,2010-11,Yes,178,148,83.1,2.8,14,81.1,14.9,4.1,0,0,182.7,0,4.1
152,Waterford School District,2010-11,No,236,235,99.6,0,0.4,2.6,5.1,8.9,54.9,28.5,279.1,83.4,92.3
152,Waterford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
153,Watertown School District,2010-11,No,256,248,96.9,0,3.1,8.9,8.1,10.9,59.3,12.9,259.7,72.2,83.1
153,Watertown School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
155,West Hartford School District,2010-11,No,693,682,98.4,0,1.6,7.9,6.2,10.1,58.5,17.3,266,75.8,85.9
155,West Hartford School District,2010-11,Yes,23,20,87,0,13,45,10,25,15,5,214.9,20,45
156,West Haven School District,2010-11,No,448,440,98.2,0.4,1.3,15.9,13.6,19.1,46.4,5,242,51.4,70.5
156,West Haven School District,2010-11,Yes,35,33,94.3,0,5.7,45.5,30.3,6.1,18.2,0,208.2,18.2,24.2
154,Westbrook School District,2010-11,No,79,79,100,0,0,7.6,8.9,17.7,62,3.8,254.5,65.8,83.5
157,Weston School District,2010-11,No,178,175,98.3,0.6,1.1,2.3,2.3,7.4,61.7,26.3,281.5,88,95.4
157,Weston School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
158,Westport School District,2010-11,No,438,434,99.1,0,0.9,0.9,0.9,4.8,59.4,33.9,290.3,93.3,98.2
158,Westport School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
159,Wethersfield School District,2010-11,No,289,281,97.2,0.7,2.1,5.7,8.2,16.4,59.4,10.3,259.7,69.8,86.1
159,Wethersfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
160,Willington School District,2010-11,No,68,68,100,0,0,1.5,2.9,10.3,63.2,22.1,276,85.3,95.6
160,Willington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
161,Wilton School District,2010-11,No,348,346,99.4,0,0.6,0.6,3.2,4.9,52.3,39,289.7,91.3,96.2
