District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
37,Derby School District,2010-11,Free,63,63,100,0,0,28.6,27,27,17.5,0,217,17.5,44.4
37,Derby School District,2010-11,Other,48,47,97.9,0,2.1,17,12.8,19.1,48.9,2.1,237.3,51.1,70.2
37,Derby School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,Other,66,66,100,0,0,3,1.5,10.6,57.6,27.3,276.5,84.8,95.5
41,East Haddam School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,Other,111,109,98.2,0,1.8,1.8,9.2,16.5,63.3,9.2,261.1,72.5,89
41,East Haddam School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,Other,145,144,99.3,0,0.7,2.1,4.9,10.4,54.2,28.5,278.2,82.6,93.1
42,East Hampton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,Free,289,280,96.9,0.3,2.8,46.4,19.3,16.4,17.1,0.7,210,17.9,34.3
43,East Hartford School District,2010-11,Other,158,156,98.7,0,1.3,28.2,16,13.5,34.6,7.7,230.5,42.3,55.8
43,East Hartford School District,2010-11,Reduced,56,55,98.2,0,1.8,36.4,20,14.5,23.6,5.5,219.5,29.1,43.6
44,East Haven School District,2010-11,Free,84,80,95.2,0,4.8,32.5,20,10,36.2,1.2,222.6,37.5,47.5
44,East Haven School District,2010-11,Other,160,157,98.1,1.3,0.6,17.2,17.8,15.9,40.8,8.3,243.8,49,65
44,East Haven School District,2010-11,Reduced,37,36,97.3,0,2.7,33.3,19.4,25,19.4,2.8,222.1,22.2,47.2
45,East Lyme School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
45,East Lyme School District,2010-11,Other,190,186,97.9,0,2.1,2.7,3.8,8.6,60.2,24.7,277.7,84.9,93.5
45,East Lyme School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,Free,25,25,100,0,0,28,4,20,36,12,240,48,68
47,East Windsor School District,2010-11,Other,61,60,98.4,0,1.6,11.7,5,8.3,50,25,270.8,75,83.3
47,East Windsor School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,Other,135,130,96.3,1.5,2.2,3.1,1.5,4.6,66.2,24.6,281.4,90.8,95.4
48,Ellington School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,Other,195,192,98.5,0,1.5,2.1,4.2,5.7,56.2,31.8,282.8,88,93.8
48,Ellington School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,Free,24,24,100,0,0,16.7,12.5,20.8,50,0,238.1,50,70.8
289,Elm City College Preparatory School,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,Free,96,93,96.9,1,2.1,15.1,30.1,18.3,34.4,2.2,232.7,36.6,54.8
49,Enfield School District,2010-11,Other,277,272,98.2,0.4,1.4,7.4,6.6,16.5,61.4,8.1,258,69.5,86
49,Enfield School District,2010-11,Reduced,33,32,97,3,0,3.1,18.8,12.5,62.5,3.1,252,65.6,78.1
