District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
41,East Haddam School District,2010-11,N,91,91,100,0,0,2.2,4.4,9.9,38.5,45.1,278.2,83.5,93.4
41,East Haddam School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,N,140,140,100,0,0,2.9,5.7,21.4,38.6,31.4,265.4,70,91.4
42,East Hampton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,N,441,432,98,0.2,1.8,18.8,10.4,30.1,25,15.7,232.8,40.7,70.8
43,East Hartford School District,2010-11,Y,72,50,69.4,0,30.6,56,10,20,14,0,179,14,34
44,East Haven School District,2010-11,N,248,246,99.2,0,0.8,17.1,18.3,27.6,29.3,7.7,226.2,37,64.6
44,East Haven School District,2010-11,Y,36,23,63.9,0,36.1,39.1,26.1,21.7,13,0,195.8,13,34.8
45,East Lyme School District,2010-11,N,191,188,98.4,0.5,1,1.1,1.1,16.5,35.6,45.7,283.2,81.4,97.9
45,East Lyme School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,N,86,86,100,0,0,5.8,12.8,23.3,33.7,24.4,253.4,58.1,81.4
47,East Windsor School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,N,106,106,100,0,0,0,0,13.2,42.5,44.3,286.1,86.8,100
46,Easton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,N,196,193,98.5,0,1.5,0.5,4.7,18.1,39.9,36.8,271.8,76.7,94.8
48,Ellington School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,N,51,51,100,0,0,3.9,7.8,25.5,37.3,25.5,254.4,62.7,88.2
289,Elm City College Preparatory School,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,N,376,376,100,0,0,1.6,1.6,16.8,37,43.1,279.7,80.1,96.8
49,Enfield School District,2010-11,Y,58,49,84.5,0,15.5,16.3,12.2,32.7,24.5,14.3,233.8,38.8,71.4
50,Essex School District,2010-11,N,68,68,100,0,0,1.5,4.4,14.7,32.4,47.1,280.5,79.4,94.1
50,Essex School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
