District ID,District Name,School Year,Total PreK Students with Disabilities,PreK Students with Disabilities Age 3,PreK Students with Disabilities Age 4,PreK Students with Disabilities Age 5,PreK Students with Disabilities Age 6,PreK Students with Disabilities Age 7,PreK Students with Disabilities Age 8
92,New Hartford School District,2009-10,13,4,7,2,0,0,0
93,New Haven School District,2009-10,155,74,75,2,2,1,1
95,New London School District,2009-10,44,19,23,2,0,0,0
96,New Milford School District,2009-10,36,13,22,1,0,0,0
94,Newington School District,2009-10,44,22,20,2,0,0,0
97,Newtown School District,2009-10,48,24,21,3,0,0,0
99,North Branford School District,2009-10,11,7,4,0,0,0,0
100,North Canaan School District,2009-10,**,**,**,**,**,**,**
101,North Haven School District,2009-10,21,10,11,0,0,0,0
102,North Stonington School District,2009-10,**,**,**,**,**,**,**
103,Norwalk School District,2009-10,87,36,45,6,0,0,0
104,Norwich School District,2009-10,64,32,31,1,0,0,0
106,Old Saybrook School District,2009-10,9,2,7,0,0,0,0
107,Orange School District,2009-10,14,6,7,1,0,0,0
108,Oxford School District,2009-10,20,5,10,5,0,0,0
109,Plainfield School District,2009-10,28,18,10,0,0,0,0
110,Plainville School District,2009-10,34,11,23,0,0,0,0
111,Plymouth School District,2009-10,16,8,7,1,0,0,0
112,Pomfret School District,2009-10,10,3,6,1,0,0,0
113,Portland School District,2009-10,17,5,11,1,0,0,0
114,Preston School District,2009-10,**,**,**,**,**,**,**
116,Putnam School District,2009-10,23,12,11,0,0,0,0
117,Redding School District,2009-10,12,5,6,1,0,0,0
206,Regional School District 06,2009-10,7,3,4,0,0,0,0
210,Regional School District 10,2009-10,28,15,13,0,0,0,0
212,Regional School District 12,2009-10,14,8,4,2,0,0,0
213,Regional School District 13,2009-10,11,4,6,1,0,0,0
214,Regional School District 14,2009-10,12,2,9,1,0,0,0
215,Regional School District 15,2009-10,39,16,18,5,0,0,0
216,Regional School District 16,2009-10,20,10,9,1,0,0,0
217,Regional School District 17,2009-10,19,6,9,4,0,0,0
218,Regional School District 18,2009-10,17,5,8,4,0,0,0
118,Ridgefield School District,2009-10,33,14,19,0,0,0,0
119,Rocky Hill School District,2009-10,23,11,10,2,0,0,0
121,Salem School District,2009-10,**,**,**,**,**,**,**
122,Salisbury School District,2009-10,**,**,**,**,**,**,**
123,Scotland School District,2009-10,**,**,**,**,**,**,**
124,Seymour School District,2009-10,23,10,13,0,0,0,0
125,Sharon School District,2009-10,**,**,**,**,**,**,**
126,Shelton School District,2009-10,48,22,25,1,0,0,0
127,Sherman School District,2009-10,**,**,**,**,**,**,**
128,Simsbury School District,2009-10,24,12,10,2,0,0,0
129,Somers School District,2009-10,7,5,2,0,0,0,0
132,South Windsor School District,2009-10,46,20,25,1,0,0,0
131,Southington School District,2009-10,56,24,29,3,0,0,0
133,Sprague School District,2009-10,**,**,**,**,**,**,**
134,Stafford School District,2009-10,12,2,7,3,0,0,0
135,Stamford School District,2009-10,71,36,35,0,0,0,0
136,Sterling School District,2009-10,**,**,**,**,**,**,**
137,Stonington School District,2009-10,32,14,18,0,0,0,0
138,Stratford School District,2009-10,61,32,26,1,0,2,0
139,Suffield School District,2009-10,22,11,9,2,0,0,0
140,Thomaston School District,2009-10,12,4,8,0,0,0,0
141,Thompson School District,2009-10,12,8,4,0,0,0,0
142,Tolland School District,2009-10,22,12,9,1,0,0,0
143,Torrington School District,2009-10,59,28,28,3,0,0,0
144,Trumbull School District,2009-10,73,29,34,10,0,0,0
145,Union School District,2009-10,**,**,**,**,**,**,**
146,Vernon School District,2009-10,38,19,19,0,0,0,0
147,Voluntown School District,2009-10,**,**,**,**,**,**,**
148,Wallingford School District,2009-10,44,17,24,3,0,0,0
151,Waterbury School District,2009-10,204,95,103,6,0,0,0
152,Waterford School District,2009-10,24,14,10,0,0,0,0
153,Watertown School District,2009-10,15,4,10,1,0,0,0
155,West Hartford School District,2009-10,94,46,40,8,0,0,0
156,West Haven School District,2009-10,79,37,36,6,0,0,0
154,Westbrook School District,2009-10,13,5,8,0,0,0,0
157,Weston School District,2009-10,19,9,7,3,0,0,0
158,Westport School District,2009-10,38,22,14,2,0,0,0
