Inst,dist,District Name,School,School Name,Grade,Total,% of Non-White,American Indian,Asian American,Black,White,Hispanic,Pacific Islander,Two or More races,,IndianM,IndianF,AsianM,AsianF,BlackM,BlackF,WhiteM,WhiteF,HispM,HispF,PaciM,PaciF,MultiM,MultiF,TotalM,TotalF,,Eligible for Free or Reduced Price Lunch,Special Education,English Language Learner
11,7,Berlin School District,61,Berlin High School,11,238,40,0,11,*,198,21,0,7,,0,0,7,*,0,*,103,95,9,12,0,0,*,*,124,114,,32,27,*
11,7,Berlin School District,61,Berlin High School,12,269,38,0,13,*,231,19,0,*,,0,0,6,7,0,*,107,124,9,10,0,0,*,*,125,144,,31,23,*
11,8,Bethany School District,1,Bethany Community School,-3,13,*,0,*,0,8,0,0,*,,0,0,*,*,0,0,*,*,0,0,0,0,*,0,6,7,,*,*,0
11,8,Bethany School District,1,Bethany Community School,0,60,11,7,0,*,49,*,0,0,,*,*,0,0,*,0,27,22,*,0,0,0,0,0,34,26,,*,*,0
11,8,Bethany School District,1,Bethany Community School,1,46,*,0,*,0,42,*,0,*,,0,0,0,*,0,0,24,18,*,0,0,0,*,0,26,20,,6,7,0
11,8,Bethany School District,1,Bethany Community School,2,53,9,0,8,0,44,*,0,0,,0,0,*,*,0,0,25,19,0,*,0,0,0,0,29,24,,*,*,0
11,8,Bethany School District,1,Bethany Community School,3,64,*,0,*,0,60,*,0,0,,0,0,*,*,0,0,33,27,0,*,0,0,0,0,35,29,,*,10,0
11,8,Bethany School District,1,Bethany Community School,4,73,9,0,*,*,64,*,0,0,,0,0,*,*,*,*,38,26,0,*,0,0,0,0,42,31,,*,9,0
11,8,Bethany School District,1,Bethany Community School,5,77,9,*,7,*,68,0,0,0,,0,*,*,*,0,*,34,34,0,0,0,0,0,0,37,40,,*,9,0
11,8,Bethany School District,1,Bethany Community School,6,87,9,0,*,*,78,*,0,0,,0,0,*,*,0,*,40,38,0,*,0,0,0,0,41,46,,*,11,0
11,9,Bethel School District,1,Frank A. Berry School,-3,108,19,0,*,*,89,10,0,*,,0,0,*,0,*,*,49,40,6,*,0,0,*,*,61,47,,0,22,0
11,9,Bethel School District,1,Frank A. Berry School,0,116,24,0,8,*,92,12,0,*,,0,0,*,*,*,*,45,47,*,8,0,0,*,*,55,61,,12,9,6
11,9,Bethel School District,1,Frank A. Berry School,1,99,18,0,6,*,81,8,0,0,,0,0,*,*,*,*,43,38,*,*,0,0,0,0,52,47,,10,13,9
11,9,Bethel School District,1,Frank A. Berry School,2,88,15,0,*,*,73,7,*,0,,0,0,*,*,*,0,43,30,*,*,*,0,0,0,50,38,,19,*,6
11,9,Bethel School District,1,Frank A. Berry School,3,86,22,0,9,*,64,8,*,0,,0,0,*,6,*,*,28,36,*,*,0,*,0,0,37,49,,11,*,*
11,9,Bethel School District,4,Anna H. Rockwell School,0,115,25,0,*,*,90,18,0,*,,0,0,*,*,*,*,43,47,8,10,0,0,*,0,55,60,,21,9,11
11,9,Bethel School District,4,Anna H. Rockwell School,1,95,23,0,*,*,72,18,0,0,,0,0,*,*,0,*,32,40,9,9,0,0,0,0,44,51,,19,7,10
11,9,Bethel School District,4,Anna H. Rockwell School,2,94,25,0,6,*,69,17,0,*,,0,0,*,*,0,*,41,28,10,7,0,0,*,0,54,40,,22,9,*
11,9,Bethel School District,4,Anna H. Rockwell School,3,88,22,0,*,*,66,15,0,0,,0,0,*,*,*,*,36,30,7,8,0,0,0,0,47,41,,15,6,*
11,9,Bethel School District,5,Ralph M. T. Johnson School,4,228,62,0,19,*,166,34,0,6,,0,0,10,9,0,*,85,81,21,13,0,0,*,*,120,108,,39,35,6
11,9,Bethel School District,5,Ralph M. T. Johnson School,5,215,65,0,18,*,150,32,0,11,,0,0,9,9,*,*,77,73,13,19,0,0,*,6,107,108,,49,21,0
11,9,Bethel School District,51,Bethel Middle School,6,240,58,0,14,6,182,33,0,*,,0,0,7,7,*,*,103,79,17,16,0,0,*,*,131,109,,46,33,*
11,9,Bethel School District,51,Bethel Middle School,7,223,49,0,15,7,174,25,0,*,,0,0,9,6,*,*,95,79,10,15,0,0,*,*,119,104,,43,19,*
11,9,Bethel School District,51,Bethel Middle School,8,221,53,0,18,*,168,24,0,9,,0,0,7,11,*,*,85,83,13,11,0,0,*,*,111,110,,47,25,*
11,9,Bethel School District,61,Bethel High School,9,255,67,0,14,6,188,39,0,8,,0,0,*,9,*,*,104,84,21,18,0,0,7,*,141,114,,44,28,*
11,9,Bethel School District,61,Bethel High School,10,229,53,0,13,6,176,28,0,6,,0,0,7,6,*,*,92,84,13,15,0,0,*,*,115,114,,54,25,6
11,9,Bethel School District,61,Bethel High School,11,243,59,0,21,*,184,31,0,*,,0,0,8,13,*,*,92,92,22,9,0,0,*,*,125,118,,47,29,*
11,9,Bethel School District,61,Bethel High School,12,232,52,*,14,12,180,24,0,*,,*,0,6,8,*,7,95,85,12,12,0,0,0,*,119,113,,30,20,*
11,11,Bloomfield School District,5,Metacomet School,3,115,112,*,*,86,*,16,0,6,,*,0,*,*,42,44,*,*,9,7,0,0,*,*,60,55,,65,18,*
11,11,Bloomfield School District,5,Metacomet School,4,122,120,0,0,110,*,7,0,*,,0,0,0,0,53,57,*,0,*,*,0,0,*,*,60,62,,63,10,0
11,11,Bloomfield School District,6,Laurel Elementary School,0,87,84,0,*,76,*,6,0,*,,0,0,*,0,38,38,*,*,*,*,0,0,0,*,45,42,,51,*,*
