,,,Grade Range,,,Student's Race-Ethnicity,,,,,,,Students with Disabilities,ELL ,Meal Eligibility Status,,
,,,"Elementary Level 
(Grade K-3)",Middle Grades (Grades 4-8),"Secondary School
 (Grades 9-12)",American Indian or Alaska Native,Asian,Black or African American,"Hispanic
Latino of any race",Native Hawaiian or Other Pacific Islander,Two or More Races,White,,,Free Meals,Reduced Meals,Not Eligible
District Code,District Name,Total % of Students chronically absent in District,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic
205,Regional School District 05,11.2, - ,3.9,14.9,*,12.4,*,*,*,*,11.7,11.3,*,*,*,11.2
206,Regional School District 06,4.2,*,*,*,*,*,*,*,*,*,4.1,*,*,*,*,3.6
207,Regional School District 07,5.9, - ,*,7.6,*,*,*,*, - ,*,5.9,*,*,*,*,5.3
208,Regional School District 08,12.3, - ,5.2,16.2, - ,*,*,*, - ,*,12.4,21.6,*,22.2,*,11.7
209,Regional School District 09,9.9, - , - ,9.9,*,*,*,*, - ,*,10.8,*,*,*,*,9.8
210,Regional School District 10,7.4,5.4,2.7,14.6,*,*,*,*,*,*,7.0,12.3,*,14.8,*,6.7
211,Regional School District 11,*, - ,*,*,*,*,*,*, - ,*,*,*,*,*,*,*
212,Regional School District 12,6.9,*,*,11.4,*,*,*,*,*,*,6.5,*,*,*,*,5.7
213,Regional School District 13,4.1,*,4.7,5.0,*,*,*,*, - ,*,3.9,*,*,*,*,3.8
214,Regional School District 14,7.6,5.1,6.8,9.5,*,*,*,*, - ,*,7.6,11.0,*,18.5,*,6.3
215,Regional School District 15,4.1,4.1,4.5,2.8,*,*,*,*,*,*,3.6,8.7,*,*,*,3.7
216,Regional School District 16,4.8,*,2.9,10.4,*,*,*,*, - ,*,4.9,7.4,*,11.9,*,3.7
217,Regional School District 17,4.2,*,2.6,7.8,*,*,*,*, - ,*,3.9,8.9,*,*,*,3.5
218,Regional School District 18,6.0,*,5.6,6.8,*,*,*,*, - ,*,6.2,*,*,*,*,5.2
219,Regional School District 19,15.7, - , - ,15.7,*,*,*,*,*,*,15.3,25.7,*,31.8,*,12.8
241,Capitol Region Education Council,13.7,12.2,9.1,21.4,*,8.6,12.1,17.8,*,11.5,12.4,15.2,24.0,20.9,9.4,8.8
242,Education Connection,*,*,*,*, - , - ,*,*, - ,*,*,*, - ,*,*,*
